,Name,Sector,City,Address,Phone,Email,Lat-Long
5003,4Dimensions Infotech,College,,,,,
5004,National Skin Institute,College,Mumbai,"Office no. 312. 3rd floor, A-wing Above Kailash Parbat restaurant Crystal Plaza Building, New Link Rd, opposite Infinity Mall, Andheri West, Mumbai, Maharashtra 400053",,,"19.1407339,72.8293476"
5005,"MESA, Pune",College,Pune,,,,
5006,Institute of Computer Application Next To New English School,College,Mumbai,,,,
5007,Smt. Ratnaprabhadevi Patil Mahila Mahavidyalaya,College,,"XXCW+JF5, Bavada, Maharashtra 413103",,,"17.9715015,74.9936468"
5008,"NIIT Imperia Centre for Advanced Learning, Mumbai",College,Mumbai,,,,
5009,Unique System Skills (India),College,Pune,"Pate Icon Building, B-Wing, Paud Rd, behind Chandu Kaka Saraf, Mahaganesh Colony, Kothrud, Pune, Maharashtra 411038",,,"18.5101834,73.8162262"
5010,Progressive Education Societys Modern Institute of Business Studies,College,Pune,,,,
5011,Aki Institute of Nursing,College,Mumbai,"Cluster_mumbai_2, 2, Maulana Azad Rd, Byculla West, Chinchpokli, Mumbai, Maharashtra 400011",,,"18.9800512,72.8247611"
5012,Indian Institution of Industrial Engineering,College,Mumbai,"Plot No. 103, Sector-15, CBD Belapur, Navi Mumbai, Maharashtra 400614",,,"19.0119614,73.0349752"
5013,"Appin Technology Lab, Kothrud",College,Pune,,,,
5014,Mams Air Private Limited,College,Mumbai,"169, 400065, Goregaon, Mumbai, Maharashtra 400065",,,"19.151119,72.8833278"
5015,Disha Computer Institute,College,Delhi/NCR  (3185),,,,
5016,Maharashtra Mandal Commerce College,College,Pune,"43, Shankar Rao Lohane Marg, T.M.V. Colony, Gultekadi, Pune, Maharashtra 411037",,,"18.4967118,73.8655461"
5017,Mahatma Phule Mahavidyalaya Arts Science and Commerce,College,Bangalore  (2099),,,,
5018,Ramji Assar Vidyala Committees College of Commerce,College,Mumbai,,,,
5019,Stock Market Institute,College,Pvt,,,,
5020,Dhanvantri Shikshan Va Samajik Pratishthan Vikas D. Ed. College,College,Pune,"chauk,, Kolhewadi Rd, Opposite cwprs gate no 1, Kolhewadi, Pune, Maharashtra 411024",,,"18.4444304,73.783076"
5021,Chembur Sarvankash  Shastra Mahavidyalaya,College,Mumbai,"Chembur High school Bldg, 1st Floor R.C.Marg, Near Municipal Market, Chembur, Mumbai, Maharashtra 400071",,,"19.0553686,72.8939505"
5022,Raja Shree Shivraya Pratishthan's Institute of Management and Computer Studies (IMCS),College,Pune,"no 6, Plot no, Dashabhuja Society, Pune, 86, Paud Rd, Rambaug Colony, Kothrud, Pune, Maharashtra 411038",,,"18.510981,73.8091372"
5023,M.C.E. Society'S Institute of Pharmacy (Diploma),College,Pune,"2390, B. K.B, Hidayatulla Rd, Azam Campus, Pune Cantonment, Pune, Maharashtra 411001",,,"18.5041845,73.8726886"
5024,Modern College of Agriculture Bio-Technology,College,1.0,,,,
5025,"Institute of Management and Creative Studies-Centum U, Pune",College,Pune,,,,
5026,UKAAT Consultancy and Services Pvt. Ltd.,College,Pune,"18, Lions Club Path, Sitabag Colony, Dattawadi, Pune, Maharashtra 411030",,,"18.49752,73.8360521"
5027,Imurgence,College,Mumbai,"A 314, Sarita Building, Prabhat Industrial Complex Next to Dahisar Toll Naka, Western Express Hwy, Dahisar East, Mumbai, Maharashtra 400068",,,"19.2571217,72.8701425"
5028,"Skylark Foundations Arts, Science and Commerce College",College,Pune,"8RW4+JGX, Pune, Tanaji Nagar, Maharashtra 411025",,,"18.3537354,73.8136334"
5029,Vanita Vinayalay Junior College of Education,College,Mumbai,"75, Jagannath, Shankar Sheth Ln, Girgaon, Mumbai, Maharashtra 400004",,,"18.9559574,72.8147834"
5030,Shri Pandharinath Arts Commerce Science College,College,Pune,"3MFP+VVP, Pokhari, Maharashtra 410509",,,"19.0747027,73.6846268"
5031,Dattatray Govindrao Walse Patil M.Ed. College,College,Pune,,,,
5032,Padmashree Dr. D.Y.Patil Institute of Pharmacy (D.Pharm),College,Pvt,,,,
5033,Global Wedding Academy,College,Mumbai,"4V66+RCW, Andheri West, Mumbai, Maharashtra 400053",,,"19.1121049,72.8584981"
5034,Late C.R. Rangnathan Deaf College of Arts and Commerce,College,Pune,"Sr.No 161, 13, Lane Number 1, Adarsh Colony, Tingre Nagar, Pune, Maharashtra 411015",,,"18.5745906,73.8851538"
5035,ASBS - Institute for Management Excellence and Development (ASBS IMEX),College,Pune,"FV95+42M, Pune - Bengaluru Hwy, New Nurses Town Co Operative Society, Dhankawadi, Pune, Maharashtra 411043",,,"18.4678389,73.854964"
5036,QuickXpert Infotech,College,Thane,"railway station, 101 Prestige Chambers, Station Road, Besides Maurya Hotel, opp. Thane west, Thane, Maharashtra 400601",,,"19.186858,72.9739408"
5037,Mahaveer Institute of Computer Education (MICE),College,Mumbai,"3rd Floor, Virgincar Bhavan, M Menezes Rd, Margao, Goa 403601",,,"15.2731676,73.9533476"
5038,"Arena Animation, Bund Garden",College,Pune,"2nd Floor, Gold Field Plaza, Tehmi Terrace, 44/2, Sasoon Rd, Next to:, Pune, Maharashtra 411001",,,"18.533805,73.875542"
5039,APG Learning,College,Pune,"Sakal Nagar, Gate, No.1, AIMS Rd, Pune, Maharashtra 411007",,,"18.5475238,73.817688"
5040,"Atal Incubation Centre, NMIMS, Mumbai",College,Mumbai,,,,
5041,FUEL College of Management,College,Pune,"FUEL, Township, Paranjape Schemes, Matalwadi Road, A4, Forest Trails, near Manas Lake, Bhugaon, Pune, Maharashtra 412115",,,"18.5092837,73.7334675"
5042,"Techdata Solution, Mumbai",College,Mumbai,,,,
5043,AES College of Pharmacy,College,Pvt,"99F8+M7R, Karoor - Ambalapuzha Temple Rd, Ambalapuzha, Kerala 688561",,,"9.3742397,76.3630757"
5044,"College of Agriculture, Ambi",College,,,,,
5045,Manikchand Institute of Management & Rural Technology - Maharashtra,College,Pune,,,,
5046,"Image Institute of Digital Technology, Mulund West",College,Mumbai,"Gaurav Annex, A-9, RRT Rd, Mulund West, Mumbai, Maharashtra 400080",,,"19.1735674,72.9510964"
5047,Aerodynamiks Avigation Private Limited.,College,Mumbai,"2nd floor,Hingu Bhavan, Sahar Rd, Andheri (E, Mumbai, Maharashtra 400069",,,"19.1184281,72.8451735"
5048,"Aptech Computer Education, Swargate",College,Mumbai,,,,
5049,Waves Institute,College,Mumbai,,,,
5050,ERP Training Academy,College,Pvt,,,,
5051,St. Johns Lady Jeejee Bhoy College,College,,,,,
5052,"Navjeevan Education College, Mumbai",College,Mumbai,,,,
5053,"Eknath Madhavi Senior College of Arts, Science, and Commerce",College,Mumbai,"636M+Q7H, Ayre Rd, Dombivli East, Dombivli, Maharashtra 421201",,,"19.2119313,73.0806527"
5054,The Lexicon Academy for Personal and Fitness Training,College,Pune,"MILE Tower, GAT NO 726, Nagar Road, Wagholi, Pune, Maharashtra 412207",,,"18.5877309,73.9943207"
5055,Bandish Studio,College,,,,,
5056,Ant Academy,College,Mumbai,"T Square, Unit No 303 Petrol Pump, Saki Vihar Rd, opp. Chandivali, Mumbai, Maharashtra 400072",,,"19.1122178,72.885618"
5057,Finxl Business School,College,Pune,"E-15, Whispering Winds Commercial Complex, Baner - Pashan Link Rd, behind Veritas, Pune, Maharashtra 411021",,,"18.5492414,73.7914818"
5058,Indiaforensic Center of Studies,College,Pune,"301, Landmark Avenue, Baner - Pashan Link Rd, Pashan, Pune, Maharashtra 411021",,,"18.5491067,73.7888098"
5059,Pragatee Foundation’s Multi-Tech Computers,College,Mumbai,"Jawharbhai Plot, Jadhav Chawl, 1/9, near Hanuman Mandir, Bhatwadi, Ghatkopar West, Mumbai, Maharashtra 400084",,,"19.0937112,72.9015251"
5060,L.J. Business School,College,,,,,
5061,Retailvarsity,College,Mumbai,"Near, 3A-104, Wework Chromium, L&T Flyover, Manohar Nagar, Marol, Andheri East, Mumbai, Maharashtra 400076",,,"19.1248346,72.8913286"
5062,The D.C.M. Society Of India Pune's Dr.Babasaheb Ambedkar Commerce and Maharshi Vitthal Ramji Shinde Arts College,College,Pune,,,,
5063,Vishwakarama Institute of Technology,College,Pune,"VISHWAKARMA INSTITUTE OF TECHNOLOGY VIT, Upper Indira Nagar, Bibwewadi, Pune, Maharashtra 411037",,,"18.4636219,73.8656288"
5064,Sinhgad College of Commerce,College,Pune,,,,
5065,Prema's Fashion Genesis,College,,,,,
5066,National Academy of Indian Payroll,College,Mumbai,"Ground Floor, Samadhan Building, Near Tilak Bridge, Senapati Bapat Marg, Dadar West, Mumbai, Maharashtra 400028",,,"19.0214815,72.8411495"
5067,PIAT - Pune Institute of Applied Technology,College,Pune,"2041, Lokmanya Bal Gangadhar Tilak Rd, Nikhil Pride, Sadashiv Peth, Pune, Maharashtra 411030",,,"18.5056908,73.8504619"
5068,Guardian College of Education,College,Pune,"FVGQ+PJ3, Kondhwa Khard, Kondhwa Main Rd, Shivneri Nagar, Kondhwa, Pune, Maharashtra 411048",,,"18.4767649,73.8864741"
